2012-08-07 13:14:17 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 58]
2012-08-07 13:14:17 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 68]
2012-08-07 13:14:17 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 71]
2012-08-07 13:14:31 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 36]
2012-08-07 13:14:31 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 37]
2012-08-07 13:14:31 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 43]
2012-08-07 13:14:31 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 58]
2012-08-07 13:14:31 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 68]
2012-08-07 13:14:31 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 71]
2012-08-07 13:15:03 Debug: Notice (8): Undefined index: nombre in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 36]
2012-08-07 13:15:03 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 37]
2012-08-07 13:15:03 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 43]
2012-08-07 13:15:03 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 58]
2012-08-07 13:15:03 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 68]
2012-08-07 13:15:03 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 71]
2012-08-07 13:16:14 Debug: Notice (8): Undefined index: nombre in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 36]
2012-08-07 13:16:14 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 37]
2012-08-07 13:16:14 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 43]
2012-08-07 13:16:14 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 58]
2012-08-07 13:16:14 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 68]
2012-08-07 13:16:14 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 71]
2012-08-07 13:18:13 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 37]
2012-08-07 13:18:13 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 43]
2012-08-07 13:18:13 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 58]
2012-08-07 13:18:13 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 68]
2012-08-07 13:18:13 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 71]
2012-08-07 13:18:47 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 37]
2012-08-07 13:18:48 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 43]
2012-08-07 13:18:48 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 58]
2012-08-07 13:18:48 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 68]
2012-08-07 13:18:48 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 71]
2012-08-07 14:54:09 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 4]
2012-08-07 14:54:09 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 10]
2012-08-07 14:54:09 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 22]
2012-08-07 14:54:09 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 26]
2012-08-07 15:25:17 Debug: Notice (8): Undefined index: sexo in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 4]
2012-08-07 15:25:17 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 10]
2012-08-07 15:25:17 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 22]
2012-08-07 15:25:17 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 26]
2012-08-07 15:25:35 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 10]
2012-08-07 15:25:35 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 22]
2012-08-07 15:25:35 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 26]
2012-08-07 15:25:48 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 10]
2012-08-07 15:25:48 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 22]
2012-08-07 15:25:48 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 26]
2012-08-07 15:26:05 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 10]
2012-08-07 15:26:05 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 22]
2012-08-07 15:26:05 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 26]
2012-08-07 15:26:20 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 22]
2012-08-07 15:26:20 Debug: Notice (8): Undefined index: Page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 26]
2012-08-07 15:27:23 Debug: Notice (8): Undefined index: id_page in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 26]
2012-08-07 15:34:00 Debug: Notice (8): Undefined index: producto in [C:\xampp\htdocs\sistema_magdaleno\app\controllers\denuncias_controller.php, line 265]
2012-08-07 15:35:13 Debug: Notice (8): Undefined index: producto in [C:\xampp\htdocs\sistema_magdaleno\app\controllers\denuncias_controller.php, line 265]
2012-08-07 15:40:40 Debug: Notice (8): Undefined index: producto in [C:\xampp\htdocs\sistema_magdaleno\app\controllers\denuncias_controller.php, line 265]
2012-08-07 15:41:47 Debug: Notice (8): Undefined index: producto in [C:\xampp\htdocs\sistema_magdaleno\app\controllers\denuncias_controller.php, line 265]
2012-08-07 15:47:50 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 5]
2012-08-07 15:47:50 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 11]
2012-08-07 15:47:50 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 23]
